"id","code","name"
occupation_work_personnel_training_modality_115003,115003,"SECRETARIO GENERAL, ORGANIZACION DE EMPLEADORES",
occupation_work_personnel_training_modality_115004,115004,"SECRETARIO GENERAL, SINDICATO DE TRABAJADORES",
occupation_work_personnel_training_modality_116001,116001,"DIRIGENTE, ORGANIZACION ESPECIALIZADA",
occupation_work_personnel_training_modality_116002,116002,"SECRETARIO GENERAL, ORGANIZACION DE PROTECCION DE LA FAUNA",
occupation_work_personnel_training_modality_116003,116003,"SECRETARIO GENERAL, ORGANIZACION DE PROTECCION DEL MEDIO AM",
occupation_work_personnel_training_modality_121001,121001,"DIRECTOR DE EMPRESAS, DE AGRICULTURA, CAZA, SILVICULTURA Y",
occupation_work_personnel_training_modality_121002,121002,"DIRECTOR EJECUTIVO, EMPRESA, AGRICULTURA, CAZA, SILVICULTUR",
occupation_work_personnel_training_modality_121003,121003,"DIRECTOR GENERAL, EMPRESA/AGRICULTURA",
occupation_work_personnel_training_modality_121004,121004,"DIRECTOR GENERAL, EMPRESA/CAZA",
occupation_work_personnel_training_modality_121005,121005,"DIRECTOR GENERAL, EMPRESA/EXPLOTACION: AGRICOLA, FORESTAL Y",
occupation_work_personnel_training_modality_121006,121006,"DIRECTOR GENERAL, EMPRESA/PESCA",
occupation_work_personnel_training_modality_121007,121007,"DIRECTOR GENERAL, EMPRESA/SILVICULTURA",
occupation_work_personnel_training_modality_121008,121008,"DIRECTOR GENERAL, ORGANIZACION/ CAZA",
occupation_work_personnel_training_modality_121009,121009,"DIRECTOR GENERAL, ORGANIZACION/PESCA",
occupation_work_personnel_training_modality_121010,121010,"DIRECTOR GENERAL, ORGANIZACION/SILVICULTURA",
occupation_work_personnel_training_modality_121011,121011,"GERENTE GENERAL, EMPRESA/AGRICULTURA",
occupation_work_personnel_training_modality_121012,121012,"GERENTE GENERAL, EMPRESA/CAZA",
occupation_work_personnel_training_modality_121013,121013,"GERENTE GENERAL, EMPRESA/PESCA",
occupation_work_personnel_training_modality_121014,121014,"GERENTE GENERAL, EMPRESA/SILVICULTURA",
occupation_work_personnel_training_modality_121015,121015,"GERENTE GENERAL, ORGANIZACION/CAZA",
occupation_work_personnel_training_modality_121016,121016,"GERENTE GENERAL, ORGANIZACION/PESCA",
occupation_work_personnel_training_modality_121017,121017,"GERENTE GENERAL, ORGANIZACION/SILVICULTURA",
occupation_work_personnel_training_modality_121018,121018,"MIEMBRO DEL DIRECTORIO, ASESOR TECNICO/EXPLOTACION: AGRICOL",
occupation_work_personnel_training_modality_121019,121019,"MIEMBRO DEL DIRECTORIO, CONSEJO ADMINISTRATIVO/COOP. AGRARI",
occupation_work_personnel_training_modality_121020,121020,"PRESIDENTE DEL DIRECTORIO, AGRICULTURA, CAZA, SILVICULTURA",
occupation_work_personnel_training_modality_121021,121021,"SUB DIRECTOR DE EMPRESA, AGRICULTURA, CAZA, SILVICULTURA Y",
occupation_work_personnel_training_modality_122001,122001,"DIRECTOR DE EMPRESAS, DE INDUSTRIAS MANUFACTURERAS, MINAS Y",
occupation_work_personnel_training_modality_122002,122002,"DIRECTOR EJECUTIVO, EMPRESA, INDUSTRIA MANUFACTURERA, MINAS",
occupation_work_personnel_training_modality_122003,122003,"DIRECTOR GENERAL, EMPRESA/INDUSTRIA MANUFACTURERA",
occupation_work_personnel_training_modality_122004,122004,"DIRECTOR GENERAL, EMPRESA/SUMINISTRO DE ELECTRICIDAD, GAS Y",
occupation_work_personnel_training_modality_122005,122005,"GERENTE GENERAL, EMPRESA/INDUSTRIA MANUFACTURERA",
occupation_work_personnel_training_modality_122006,122006,"GERENTE GENERAL, EMPRESA/SUMINISTRO DE ELECTRICIDAD, GAS Y",
occupation_work_personnel_training_modality_122007,122007,"MIEMBRO DEL DIRECTORIO, INDUSTRIAS MANUFACTURERAS, MINAS Y",
occupation_work_personnel_training_modality_122008,122008,"PRESIDENTE DEL DIRECTORIO, INDUSTRIAS MANUFACTURERAS, MINAS",
occupation_work_personnel_training_modality_122009,122009,"SUB DIRECTOR DE EMPRESA, INDUSTRIAS MANUFACTURERAS, MINAS Y",
occupation_work_personnel_training_modality_123001,123001,"DIRECTOR DE EMPRESAS, DE CONSTRUCCION Y OBRAS PUBLICAS",
occupation_work_personnel_training_modality_123002,123002,"DIRECTOR EJECUTIVO, EMPRESA, DE CONSTRUCCION Y OBRAS PUBLIC",
occupation_work_personnel_training_modality_123003,123003,"DIRECTOR GENERAL, EMPRESA/CONSTRUCCION Y OBRAS PUBLICAS",
occupation_work_personnel_training_modality_123004,123004,"GERENTE GENERAL, EMPRESA/CONSTRUCCION Y OBRAS PUBLICAS",
occupation_work_personnel_training_modality_123005,123005,"MIEMBRO DEL DIRECTORIO, CONSTRUCCION Y OBRAS PUBLICAS",
occupation_work_personnel_training_modality_123006,123006,"PRESIDENTE DEL DIRECTORIO, CONTRUCCION Y OBRAS PUBLICAS",
occupation_work_personnel_training_modality_123007,123007,"SUB DIRECTOR DE EMPRESA, CONSTRUCCION Y OBRAS PUBLICAS",
occupation_work_personnel_training_modality_124001,124001,"DIRECTOR DE EMPRESAS, DE COMERCIO MAYORISTA Y MINORISTA, RE",
occupation_work_personnel_training_modality_124002,124002,"DIRECTOR EJECUTIVO, EMPRESA, DE COMERCIO MAYORISTA Y MINORI",
occupation_work_personnel_training_modality_124003,124003,"DIRECTOR GENERAL, EMPRESA/COMERCIO MAYORISTA",
occupation_work_personnel_training_modality_124004,124004,"DIRECTOR GENERAL, EMPRESA/COMERCIO MINORISTA",
occupation_work_personnel_training_modality_124005,124005,"DIRECTOR GENERAL, ORGANIZACION/COMERCIO MAYORISTA",
occupation_work_personnel_training_modality_124006,124006,"DIRECTOR GENERAL, ORGANIZACION/COMERCIO MINORISTA",
occupation_work_personnel_training_modality_124007,124007,"DIRECTOR GENERAL, REPARACION/VEHICULOS, AUTOMOTORES, ETC.",
occupation_work_personnel_training_modality_124008,124008,"GERENTE GENERAL, EMPRESA/COMERCIO MAYORISTA",
occupation_work_personnel_training_modality_124009,124009,"GERENTE GENERAL, EMPRESA/COMERCIO MINORISTA",
occupation_work_personnel_training_modality_124010,124010,"GERENTE ORGANIZACION, EMPRESA/COMERCIO MAYORISTA",
occupation_work_personnel_training_modality_124011,124011,"GERENTE ORGANIZACION, EMPRESA/COMERCIO MINORISTA",
occupation_work_personnel_training_modality_124012,124012,"MIEMBRO DEL DIRECTORIO, COMERCIO MAYORISTA Y MINORISTA, REP",
occupation_work_personnel_training_modality_124013,124013,"PRESIDENTE DEL DIRECTORIO, COMERCIO MAYORISTA Y MINORISTA,",
occupation_work_personnel_training_modality_124014,124014,"SUB DIRECTOR DE EMPRESA, COIMERCIO MAYORISTA Y MINORISTA, R",
occupation_work_personnel_training_modality_125001,125001,"DIRECTOR DE EMPRESAS, DE RESTAURANTES Y HOTELERIA",
occupation_work_personnel_training_modality_125002,125002,"DIRECTOR EJECUTIVO, EMPRESA, DE RESTAURANTES Y HOTELERIA",
occupation_work_personnel_training_modality_125003,125003,"DIRECTOR GENERAL, EMPRESA/HOTELERIA",
occupation_work_personnel_training_modality_125004,125004,"DIRECTOR GENERAL, EMPRESA/RESTAURANTE",
occupation_work_personnel_training_modality_125005,125005,"DIRECTOR GENERAL, ORGANIZACION/HOTELERIA",
occupation_work_personnel_training_modality_125006,125006,"DIRECTOR GENERAL, ORGANIZACION/RESTAURANTE",
occupation_work_personnel_training_modality_125007,125007,"GERENTE GENERAL, EMPRESA/HOTELERIA",
occupation_work_personnel_training_modality_125008,125008,"GERENTE GENERAL, EMPRESA/RESTAURANTE",
occupation_work_personnel_training_modality_125009,125009,"GERENTE GENERAL, ORGANIZACION/HOTELERIA",
occupation_work_personnel_training_modality_125010,125010,"GERENTE GENERAL, ORGANIZACION/RESTAURANTES",
occupation_work_personnel_training_modality_125011,125011,"MIEMBRO DEL DIRECTORIO, RESTAURANTES Y HOTELERIA",
occupation_work_personnel_training_modality_125012,125012,"PRESIDENTE DEL DIRECTORIO, RESTAURANTES Y HOTELERIA",
occupation_work_personnel_training_modality_125013,125013,"SUB DIRECTOR DE EMPRESA, RESTAURANTES Y HOTELERIA",
occupation_work_personnel_training_modality_126001,126001,"DIRECTOR DE EMPRESAS, DE TRANSPORTE, ALMACENAMIENTO Y COMUN",
occupation_work_personnel_training_modality_126002,126002,"DIRECTOR EJECUTIVO, EMPRESA, DE TRANSPORTE, ALMACENAMIENTO",
occupation_work_personnel_training_modality_126003,126003,"DIRECTOR GENERAL, EMPRESA/ALMACENAMIENTO",
occupation_work_personnel_training_modality_126004,126004,"DIRECTOR GENERAL, EMPRESA/COMUNICACIONES",
occupation_work_personnel_training_modality_126005,126005,"DIRECTOR GENERAL, EMPRESA/TRANSPORTE",
occupation_work_personnel_training_modality_126006,126006,"DIRECTOR GENERAL, ORGANIZACION/TRANSPORTE",
occupation_work_personnel_training_modality_126007,126007,"GERENTE GENERAL, EMPRESA/ALMACENAMIENTO",
occupation_work_personnel_training_modality_126008,126008,"GERENTE GENERAL, EMPRESA/COMUNICACIONES",
occupation_work_personnel_training_modality_126009,126009,"GERENTE GENERAL, EMPRESA/TRANSPORTE",
occupation_work_personnel_training_modality_126010,126010,"GERENTE GENERAL, ORGANIZACION/TRANSPORTE",
occupation_work_personnel_training_modality_126011,126011,"MIEMBRO DEL DIRECTORIO, TRANSPORTE, ALMACENAMIENTO Y COMUNI",
occupation_work_personnel_training_modality_126012,126012,"PRESIDENTE DEL DIRECTORIO, TRANSPORTE, ALMACENAMIENTO Y COM",
occupation_work_personnel_training_modality_126013,126013,"SUB DIRECTOR DE EMPRESA, TRANSPORTE, ALMACENAMIENTO Y COMUN",
occupation_work_personnel_training_modality_127001,127001,"DIRECTOR DE EMPRESAS, DE SERVICIOS PUBLICOS Y FINANCIEROS",
occupation_work_personnel_training_modality_127002,127002,"DIRECTOR EJECUTIVO, EMPRESA, DE SERVICIOS PUBLICOS Y FINANC",
occupation_work_personnel_training_modality_127003,127003,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES CULTURALES",
occupation_work_personnel_training_modality_127004,127004,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES DEPORTIVAS",
occupation_work_personnel_training_modality_127005,127005,"DIRECTOR GENERAL, EMPRESA/ACTIVIDADES RECREATIVAS",
occupation_work_personnel_training_modality_127006,127006,"DIRECTOR GENERAL, EMPRESA/AGENCIA DE VIAJES",
occupation_work_personnel_training_modality_127007,127007,"DIRECTOR GENERAL, EMPRESA/INTERMEDIACION FINANCIERA",
occupation_work_personnel_training_modality_127008,127008,"DIRECTOR GENERAL, EMPRESA/LIMPIEZA",
occupation_work_personnel_training_modality_127009,127009,"DIRECTOR GENERAL, EMPRESA/SERVICIO DE EMPRESA",
occupation_work_personnel_training_modality_127010,127010,"DIRECTOR GENERAL, EMPRESA/SERVICIO DE SANIDAD",
occupation_work_personnel_training_modality_127011,127011,"DIRECTOR GENERAL, EMPRESA/TRABAJO SOCIAL",
occupation_work_personnel_training_modality_127012,127012,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES CULTURALES",
occupation_work_personnel_training_modality_127013,127013,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES DEPORTIVAS",
occupation_work_personnel_training_modality_127014,127014,"DIRECTOR GENERAL, ORGANIZACION/ACTIVIDADES RECREATIVAS",
occupation_work_personnel_training_modality_127015,127015,"DIRECTOR GENERAL, ORGANIZACION/AGENCIA DE VIAJES",
occupation_work_personnel_training_modality_127016,127016,"DIRECTOR GENERAL, ORGANIZACION/INTERMEDIACION FINANCIERA",
occupation_work_personnel_training_modality_127017,127017,"DIRECTOR GENERAL, ORGANIZACION/LIMPIEZA",
occupation_work_personnel_training_modality_127018,127018,"DIRECTOR GENERAL, ORGANIZACION/SERVICIO DE EMPRESA",
occupation_work_personnel_training_modality_127019,127019,"DIRECTOR GENERAL, ORGANIZACION/SERVICIO DE SANIDAD",
occupation_work_personnel_training_modality_127020,127020,"DIRECTOR GENERAL, ORGANIZACION/TRABAJO SOCIAL",
occupation_work_personnel_training_modality_127021,127021,"GERENTE GENERAL, EMPRESA/ACTIVIDADES CULTURALES",
occupation_work_personnel_training_modality_127022,127022,"GERENTE GENERAL, EMPRESA/ACTIVIDADES DEPORTIVAS",
occupation_work_personnel_training_modality_127023,127023,"GERENTE GENERAL, EMPRESA/ACTIVIDADES RECREATIVAS",
occupation_work_personnel_training_modality_127024,127024,"GERENTE GENERAL, EMPRESA/AGENCIA DE VIAJES",
occupation_work_personnel_training_modality_127025,127025,"GERENTE GENERAL, EMPRESA/INTERMEDIACION FINANCIERA",
occupation_work_personnel_training_modality_127026,127026,"GERENTE GENERAL, EMPRESA/LIMPIEZA",
occupation_work_personnel_training_modality_127027,127027,"GERENTE GENERAL, EMPRESA/SERVICIO DE EMPRESA",
occupation_work_personnel_training_modality_127028,127028,"GERENTE GENERAL, EMPRESA/SERVICIO DE SANIDAD",
occupation_work_personnel_training_modality_127029,127029,"GERENTE GENERAL, EMPRESA/TRABAJO SOCIAL",
occupation_work_personnel_training_modality_127030,127030,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES CULTURALES",
occupation_work_personnel_training_modality_127031,127031,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES DEPORTIVAS",
occupation_work_personnel_training_modality_127032,127032,"GERENTE GENERAL, ORGANIZACION/ACTIVIDADES RECREATIVAS",
occupation_work_personnel_training_modality_127033,127033,"GERENTE GENERAL, ORGANIZACION/AGENCIA DE VIAJES",
occupation_work_personnel_training_modality_127034,127034,"GERENTE GENERAL, ORGANIZACION/INTERMEDIACION FINANCIERA",
occupation_work_personnel_training_modality_127035,127035,"GERENTE GENERAL, ORGANIZACION/LIMPIEZA",
occupation_work_personnel_training_modality_127036,127036,"GERENTE GENERAL, ORGANIZACION/SERVICIO DE EMPRESA",
occupation_work_personnel_training_modality_127037,127037,"GERENTE GENERAL, ORGANIZACION/SERVICIO DE SANIDAD",
occupation_work_personnel_training_modality_127038,127038,"GERENTE GENERAL, ORGANIZACION/TRABAJO SOCIAL",
occupation_work_personnel_training_modality_127039,127039,"MIEMBRO DEL DIRECTORIO, SERVICIOS PUBLICOS Y FINANCIEROS",
