"id","code","name"
1,2022,2022
2,2021,2021
3,2020,2020
4,2019,2019
5,2018,2018
6,2017,2017
7,2016,2016
8,2015,2015
9,2014,2014
10,2013,2013
11,2012,2012
12,2011,2011
13,2010,2010
14,2009,2009
15,2008,2008
16,2007,2007
17,2006,2006
18,2005,2005
19,2004,2004
20,2003,2003
21,2002,2002
22,2001,2001
23,2000,2000
24,1999,1999
25,1998,1998
26,1997,1997
27,1996,1996
28,1995,1995
29,1994,1994
30,1993,1993
31,1992,1992
32,1991,1991
33,1990,1990
