"id","code","name"
123,150591909,LA SALLE-URUBAMBA
124,150702902,LORETO
125,150732370,MANUEL GONZALES PRADA
126,151180769,MANUEL VEGAS CASTILLO
127,150290924,MARCOS DURAN MARTEL
128,151192830,MARÍA MADRE
129,150567784,MERCEDES CABELLO DE CARBONERA
130,150595090,MONSEÑOR ELÍAS OLÁZAR
131,151157916,MONSEÑOR FRANCISCO GONZÁLEZ BURGA
132,151124072,MONTERRICO
133,150419937,NUESTRA SEÑORA DE LOURDES
134,150453787,NUESTRA SEÑORA DE CHOTA
135,150622936,NUESTRA SEÑORA DE LA ASUNCIÓN
136,151113182,NUESTRA SEÑORA DE LAS MERCEDES
137,150688341,NUESTRA SEÑORA DEL ROSARIO
138,151028554,NUÑOA
139,150611525,OCTAVIO MATTA CONTRERAS
140,151227982,PEDRO MONGE CÓRDOVA
141,150356972,PIURA
142,150598367,POMABAMBA
143,151061498,POMACANCHI
144,150714725,PÚBLICO BAMBAMARCA
145,150721951,PUBLICO CANGALLO
146,150676312,PUBLICO DE LAMAS
147,150623025,PUBLICO TAYABAMBA
148,150926733,PUCARÁ
149,150474320,PUNO
150,150591859,PUQUIO
151,150933218,QUILLABAMBA
152,150926865,RAFAEL HOYOS RUBIO
153,150453761,SAGRADO CORAZÓN DE JESÚS
154,151065374,SAN JOSEMARÍA ESCRIVA
155,151059245,SAN JUAN BAUTISTA
156,150815084,SAN MARCOS
157,150696385,SAN MIGUEL
158,150759217,SANTA CRUZ
159,150207597,SANTA ROSA
160,150273979,TARAPOTO
161,151109396,TEMBLADERA
162,150697235,TEODORO PEÑALOZA
163,150262311,TORIBIO RODRÍGUEZ DE MENDOZA
164,150586669,TÚPAC AMARU
165,150642348,VÍCTOR ANDRÉS BELAUNDE
166,151396217,VIRGEN DE LA NATIVIDAD
167,150931014,VIRGEN DEL CARMEN
168,150666479,YARINACOCHA
169,251141167,ABRAHAM VALDELOMAR
170,251254739,ADA A. BYRON
171,251243211,ALEXANDER FLEMING
172,251066216,AMAUTA-LIMA
173,250931550,AMAUTA-ESPINAR
174,250928846,AMÉRICA-ABANCAY
175,251067057,AMÉRICA-LIMA
176,251029909,ANDRÉS BELLO
177,251115328,ANTONIO RAIMONDI
178,250933622,ARCO IRIS
179,251123397,AUGUSTE RENOIR
180,251141209,BALLESTAS
181,250933168,BERNABÉ COBO
182,251135292,CAJAMARCA
183,251468610,CALIDAD EN REDES DE APRENDIZAJE- CREA
184,251154210,CENIT GALEAZA
185,251143536,CHILIMASA
186,251461144,CIENCIA Y LIBERTAD
187,251232891,CLARIDAD
188,251140144,CUNA DE LA LIBERTAD AMERICANA
189,251029669,DANTE NAVA
190,251196336,DEL VALLE ZAÑA
191,251386531,DIDASCALIO JESÚS MAESTRO
192,251115088,DIEGO THOMPSON
193,250931519,DIVINO MAESTRO
194,251257013,DIVINO NIÑO
195,251255629,DIVINO NIÑO JESÚS
196,251101716,DON BOSCO
197,251125764,EDUTEK-TACNA
198,251029800,EDUTEK-SAN ROMAN
199,251198019,EL NAZARENO
200,251114131,ERIC BERNE
201,251112044,ESTEBAN PAVLETICH
202,251468594,EUROAMERICANO
203,250911925,EXPERIMENTAL CATOLICO
204,250898429,FEDERICO KAISER
205,251026830,FERNANDO STAHLL
206,251321769,HEADWAY COLLEGE
207,250920264,HÉROES DE LA BREÑA
208,251113224,HORACIO URTEAGA
209,251029305,ISAAC NEWTON
210,250920298,ISABEL LA CATÓLICA
211,251124270,JESÚS DE NAZARETH
212,251114362,JESÚS EL MAESTRO
213,251272145,JESÚS MAESTRO
214,250886572,JHALEBEP (ANTES JOSÉ MATÍAS MANZANILLA)
215,250886556,JORGE BASADRE
216,251114404,JOSÉ CARLOS MARIÁTEGUI
217,251255389,JOSÉ CRISAM
218,251115120,JOSÉ JIMÉNEZ BORJA
219,251595495,JOSÉ LUIS BUSTAMANTE Y RIVERO
220,250543355,JUAN DIEGO
221,250920322,JUAN ENRIQUE PESTALOZZI
222,251345081,JUAN PABLO VIZCARDO Y GUZMÁN
223,251451608,JULCÁN
224,250920363,KENNETH COOPER
225,251394196,KONRAD ADENAHUER
226,251450915,LA LIBERTAD-CHEPEN
227,251174424,LIBERTAD
228,251029313,LIBERTADOR JOSÉ DE SAN MARTÍN
229,251468057,LOUIS BAUDIN
230,250784561,MANUEL SANTANA CHIRI
231,251172279,MARCELINO CHAMPAGNAT
232,251115443,MARÍA AUXILIADORA
233,250892109,MARÍA MONTESSORI
234,251123249,MARIANNE FROSTIG
235,251255587,MARYWOOD
236,251468602,MUSEO DE ARTE DE LIMA
237,251067131,NICOLÁS COPÉRNICO
238,251114735,NUESTRA SEÑORA DE LA EVANGELIZACIÓN
239,251027473,NUESTRA SEÑORA DE LOURDES
240,251325794,NUESTRA SEÑORA DE FÁTIMA DIVINA PROVIDENCIA
241,251174507,OXFORD
242,251114701,PAKAMUROS
243,251114446,PAULO FREIRE
244,251192954,PAULO VI
245,251158484,PERUANO CANADIENSE
246,251192996,PERUANO DE LA CIENCIA Y LA CULTURA IPEC
247,250928655,PUKLLASUNCHIS (RICARDO PALMA)
248,251026806,RICARDO PALMA SORIANO
249,251113729,SALESIANO
250,251200591,SALESIANO DOMINGO SAVIO
251,250691121,SAN CARLOS Y SAN MARCELO
252,250920454,SAN JOSÉ-HUANCAYO
253,251135300,SAN FRANCISCO DE ASÍS
254,251125111,SAN JOSÉ-CAÑETE
255,251066414,SAN JUAN BOSCO
256,251114081,SAN MARCELO
257,251067172,SAN MARCOS
258,251124247,SAN SILVESTRE
259,250933242,SANTA ANA
260,251058551,SANTA ROSA
261,251114321,SANTO DOMINGO
262,251115138,SCHILLER GOETHE
263,251421106,SEÑOR DE LOS MILAGROS
264,250886564,SEÑOR DE LUREN
265,251027093,SIMÓN BOLÍVAR
266,251132703,TACABAMBA
267,250934158,URIEL GARCÍA
268,250607366,VÍCTOR ANDRÉS BELAUNDE - LIMA 
269,251174580,VIRGEN DE LA PUERTA
270,251245380,VIRGEN DEL CARMEN
271,251256775,VON BRAUN
272,141138270,24 DE JULIO DE ZARUMILLA
273,140591941,4 DE JUNIO DE 1821
274,141102763,9 DE MAYO
275,240891598,ABACO - AREQUIPA
276,240669317,ABACO - CHICLAYO
277,241200856,ABACO - CUSCO
278,241185909,ABACO - PIURA
279,241174929,ABACO - TRUJILLO
280,241115690,ABACO-LIMA
281,140753962,ABANCAY
282,241124528,ABC INFORMATICA
283,241608090,ACCION COMUNITARIA
284,241633668,ACIP
285,141025279,ACORA
286,241064443,ADA A. BYRON
287,241468628,ADDIS
288,241472273,ADMINISTRACION Y NEGOCIOS
289,241468107,"ADMINISTRACION, NEGOCIOS Y FINANZAS - AFIBAN"
290,140567313,ADOLFO VIENRICH
291,241233030,ADUANEC
292,241027549,ADVENTISTAS DEL TITICACA
293,240892257,AGRARIO DEL SUR
294,241345123,AGRONEGOCIOS DEL SUR
295,140729533,AGUSTIN HAYA DE LA TORRE
296,140681601,AIJA
297,241424688,ALAS PERUANAS - CHINCHA
298,241421114,ALAS PERUANAS - ICA
299,241468206,ALAS PERUANAS - LIMA INSTITUTO DE ESTUDIOS EMPRESARIALES
300,241186147,ALAS PERUANAS - PIURA 
301,241239003,ALAS PERUANAS -AREQUIPA
302,240898213,ALBERT EINSTEIN
303,141160159,ALBERTO PUMAYALLA DIAZ 
304,241114370,ALESSANDRO VOLTA
305,241066737,ALEXANDER FLEMING
306,241123603,ALEXANDER GRAHAM BELL
307,141160175,ALEXANDER VON HUMBOLDT
308,241123793,ALEXANDER VON HUMBOLDT 
309,140636050,ALFRED NOBEL
310,140815118,ALFREDO JOSE MARIA ROCHA ZEGARRA
311,141327253,ALFREDO SARMIENTO PALOMINO
312,141257369,ALIANZA RENOVADA ICHUÑA BELGICA
313,140635995,ALMIRANTE MIGUEL GRAU
314,241468354,ALTA COCINA D GALLIA
315,141081116,ALTO HUALLAGA 
316,140675850,ALTO MAYO
317,241410166,ALTOS ESTUDIOS EMPRESARIALES E IDIOMAS - BS & L
318,141065739,AMAUTA JULIO C. TELLO
319,240605147,AMAUTA SEDE LIMA
320,241024512,AMAUTA SEDE PUNO
321,141153519,AMAZONAS - YURIMAGUAS
322,241404953,AMAZONICO
323,241313485,AMBROSSIA - CUSCO
324,240570234,AMERICA
325,241183714,AMERICAN INSTITUTE
326,241249358,AMERICAN SYSTEM
327,241528728,AMERICANA DE MADRE DE DIOS
328,240934182,AMERICANA DEL CUSCO
329,241530690,AMERICANO
330,141369842,ANDABAMBA
331,241124684,ANDRE VESALIO
332,141026319,ANDRES AVELINO CACERES - SAN ANTONIO DE PUTINA- PUNO
333,140697268,ANDRES AVELINO CACERES DORREGARAY - HUANCAYO
334,241160134,ANDRES AVELINO CACERES DORREGARAY - PASCO
335,140931022,ANTA
336,141065135,ANTENOR ORREGO ESPINOZA
337,240815142,ANTONIO LORENA
338,240914358,ANTONIO RAIMONDI - CORONEL PORTILLO
339,140905372,ANTONIO RAIMONDI - YUNGAY
340,240815191,ANTONIO RAYMONDI - CUSCO
341,140586628,APARICIO POMARES
342,241351436,APOLO'S
343,241389964,APU-RIMAC
344,140337915,ARGENTINA
345,241124767,ART NOUVEAU
346,241114651,"ARTE, NEGOCIO Y TECNOLOGIA-ESANTEC"
347,141065499,ARTURO SABROSO MONTOYA
348,241066018,ARZOBISPO LOAYZA
349,141167220,ASCOPE
350,240702803,ASESORIA DE EMPRESAS COMERCIALES ADEC
351,141314061,ASHANINKA
352,140734103,ATALAYA
353,241185743,ATENEO DEMOSTENES
354,140757229,AUCARA
355,241026533,AUGUSTO SALAZAR BONDY
356,141058742,AURAHUA
357,241468040,AVIA
358,141180801,AYABACA
359,140716779,AYAVIRI
360,140745034,BAGUA
