"id","code","name"
1886,333035, MARKETING INTEGRAL
1887,528015, DISEÑO DE MODAS
1888,715055, OPTOMETRÍA
1889,713015, PRÓTESIS DENTAL
1890,342025, CONTABILIDAD
1891,611115, PRODUCCIÓN AGROPECUARIA 
1892,714035, ENFERMERÍA TÉCNICA
1893,441095, COMPUTACIÓN E INFORMÁTICA
1894,611115, PRODUCCIÓN AGROPECUARIA
1895,714035, ENFERMERÍA TÉCNICA
1896,716015, FARMACIA
1897,716015, FARMACIA
1898,715025, LABORATORIO CLÍNICO
1899,713015, PRÓTESIS DENTAL
1900,611135, PRODUCCIÓN Y GESTIÓN PECUARIA 
1901,441095, COMPUTACIÓN E INFORMÁTICA
1902,512055, TÉCNICA EN INGENIERÍA DE TELEMÁTICA
1903,528065, GESTIÓN DE LA PRODUCCIÓN EN LA INDUSTRIA DE LAS CONFECCIONES
1904,528035, DISEÑO TEXTIL
1905,811055, GUÍA OFICIAL DE TURISMO 
1906,332055," ADMINISTRACIÓN DE HOTELES, RESTAURANTES Y AFINES"
1907,332035, ADMINISTRACIÓN DE HOSTELERÍA
1908,811055, GUÍA OFICIAL DE TURISMO 
1909,611115, PRODUCCIÓN AGROPECUARIA
1910,714035, ENFERMERÍA TÉCNICA
1911,441095, COMPUTACIÓN E INFORMÁTICA
1912,713015, PRÓTESIS DENTAL
1913,715025, LABORATORIO CLÍNICO
1914,716015, FARMACIA
1915,342025, CONTABILIDAD
1916,337025, SECRETARIADO EJECUTIVO
1917,714035, ENFERMERÍA TÉCNICA
1918,714035, ENFERMERÍA TÉCNICA
1919,811055, GUÍA OFICIAL DE TURISMO 
1920,441095, COMPUTACIÓN E INFORMÁTICA
1921,342025, CONTABILIDAD
1922,337025, SECRETARIADO EJECUTIVO
1923,441095, COMPUTACIÓN E INFORMÁTICA
1924,715025, LABORATORIO CLÍNICO
1925,716015, FARMACIA
1926,525065, ELECTRÓNICA INDUSTRIAL
1927,441175, REDES Y COMUNICACIONES
1928,342025, CONTABILIDAD
1929,331035, ADMINISTRACIÓN BANCARIA
1930,335015, ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES
1931,331095, ADMINISTRACIÓN DE EMPRESAS
1932,222125, DISEÑO GRÁFICO
1933,222055, CIENCIAS PUBLICITARIAS
1934,337025, SECRETARIADO EJECUTIVO
1935,333015, MARKETING
1936,441095, COMPUTACIÓN E INFORMÁTICA
1937,337025, SECRETARIADO EJECUTIVO
1938,441095, COMPUTACIÓN E INFORMÁTICA
1939,611115, PRODUCCIÓN AGROPECUARIA
1940,524035, ELECTROTÉCNIA INDUSTRIAL
1941,713015, PRÓTESIS DENTAL
1942,716015, FARMACIA
1943,717015, OBSTETRICIA
1944,526165, MECÁNICA AUTOMOTRIZ
1945,441095, COMPUTACIÓN E INFORMÁTICA
1946,332065, ADMINISTRACIÓN DE SERVICIOS DE HOSTELERÍA 
1947,332105, COCINA
1948,332125, GASTRONOMÍA Y ARTE CULINARIO
1949,811055, GUÍA OFICIAL DE TURISMO 
1950,441035, ADMINISTRACIÓN Y SISTEMAS
1951,333025, MARKETING EMPRESARIAL
1952,331055, ADMINISTRACIÓN BANCARIA Y FINANCIERA
1953,335015, ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES
1954,714035, ENFERMERÍA TÉCNICA
1955,526185, MECÁNICA DE PRODUCCIÓN
1956,526165, MECÁNICA AUTOMOTRIZ
1957,715025, LABORATORIO CLÍNICO
1958,441095, COMPUTACIÓN E INFORMÁTICA
1959,441095, COMPUTACIÓN E INFORMÁTICA
1960,335015, ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES
1961,342025, CONTABILIDAD
1962,441095, COMPUTACIÓN E INFORMÁTICA
1963,526185, MECÁNICA DE PRODUCCIÓN
1964,525065, ELECTRÓNICA INDUSTRIAL
1965,526165, MECÁNICA AUTOMOTRIZ
1966,714035, ENFERMERÍA TÉCNICA
1967,222095, DISEÑO DE INTERIORES
1968,222165, DISEÑO PUBLICITARIO
1969,528015, DISEÑO DE MODAS
1970,321025, COMUNICACIÓN AUDIOVISUAL
1971,441095, COMPUTACIÓN E INFORMÁTICA
1972,337025, SECRETARIADO EJECUTIVO
1973,714035, ENFERMERÍA TÉCNICA
1974,716015, FARMACIA
1975,714035, ENFERMERÍA TÉCNICA
1976,534025, CONSERVACIÓN Y RESTAURACIÓN
1977,221025, CONSTRUCCIÓN DE ARTE EN MADERA
1978,534015, CONSERVACIÓN DE BIENES ARQUEOLÓGICOS
1979,524035, ELECTROTÉCNIA INDUSTRIAL
1980,811045, GUÍA OFICIAL DE MONTAÑA
1981,526165, MECÁNICA AUTOMOTRIZ
1982,526155, MECÁNICA AGRÍCOLA
1983,522025, INDUSTRIAS ALIMENTARIAS
1984,714035, ENFERMERÍA TÉCNICA
1985,714035, ENFERMERÍA TÉCNICA
1986,715015, FISIOTERAPIA Y REHABILITACIÓN
1987,716015, FARMACIA
1988,715055, OPTOMETRÍA
1989,811055, GUÍA OFICIAL DE TURISMO 
1990,337025, SECRETARIADO EJECUTIVO
1991,441095, COMPUTACIÓN E INFORMÁTICA
1992,422025, QUÍMICA INDUSTRIAL
1993,441095, COMPUTACIÓN E INFORMÁTICA
1994,441095, COMPUTACIÓN E INFORMÁTICA
1995,342025, CONTABILIDAD
1996,441095, COMPUTACIÓN E INFORMÁTICA
1997,331095, ADMINISTRACIÓN DE EMPRESAS
1998,342025, CONTABILIDAD
1999,337025, SECRETARIADO EJECUTIVO
2000,611015, ADMINISTRACIÓN DE NEGOCIOS AGROPECUARIOS 
2001,611115, PRODUCCIÓN AGROPECUARIA
2002,611115, PRODUCCIÓN AGROPECUARIA
2003,811055, GUÍA OFICIAL DE TURISMO 
2004,441095, COMPUTACIÓN E INFORMÁTICA
2005,337025, SECRETARIADO EJECUTIVO
2006,333015, MARKETING
2007,342025, CONTABILIDAD
2008,331095, ADMINISTRACIÓN DE EMPRESAS
2009,441095, COMPUTACIÓN E INFORMÁTICA
2010,337025, SECRETARIADO EJECUTIVO
2011,222095, DISEÑO DE INTERIORES
2012,222165, DISEÑO PUBLICITARIO
2013,222175, DISEÑO TÉCNICO
2014,526165, MECÁNICA AUTOMOTRIZ
2015,716015, FARMACIA
2016,342025, CONTABILIDAD
2017,611115, PRODUCCIÓN AGROPECUARIA 
2018,524035, ELECTROTÉCNIA INDUSTRIAL
2019,525065, ELECTRÓNICA INDUSTRIAL
2020,332065, ADMINISTRACIÓN DE SERVICIOS DE HOSTELERÍA 
2021,811055, GUÍA OFICIAL DE TURISMO 
2022,714035, ENFERMERÍA TÉCNICA
2023,441095, COMPUTACIÓN E INFORMÁTICA
2024,342025, CONTABILIDAD
2025,332065, ADMINISTRACIÓN DE SERVICIOS DE HOSTELERÍA 
2026,811055, GUÍA OFICIAL DE TURISMO 
2027,524035, ELECTROTÉCNIA INDUSTRIAL
2028,526135, MECÁNICA AERONÁUTICA
2029,441095, COMPUTACIÓN E INFORMÁTICA
2030,337025, SECRETARIADO EJECUTIVO
2031,331035, ADMINISTRACIÓN BANCARIA
2032,332125, GASTRONOMÍA Y ARTE CULINARIO
2033,441095, COMPUTACIÓN E INFORMÁTICA
2034,335015, ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES
2035,331095, ADMINISTRACIÓN DE EMPRESAS
2036,611115, PRODUCCIÓN AGROPECUARIA
2037,342025, CONTABILIDAD
2038,331115, ADMINISTRACIÓN DE NEGOCIOS
2039,714035, ENFERMERÍA TÉCNICA
2040,526185, MECÁNICA DE PRODUCCIÓN
2041,522025, INDUSTRIAS ALIMENTARIAS
2042,526165, MECÁNICA AUTOMOTRIZ
2043,531025, CONSTRUCCIÓN CIVIL
2044,441095, COMPUTACIÓN E INFORMÁTICA
2045,525065, ELECTRÓNICA INDUSTRIAL
2046,526165, MECÁNICA AUTOMOTRIZ
2047,527025, EXPLOTACIÓN MINERA
2048,441095, COMPUTACIÓN E INFORMÁTICA
2049,337025, SECRETARIADO EJECUTIVO
2050,342025, CONTABILIDAD
2051,331095, ADMINISTRACIÓN DE EMPRESAS
2052,441095, COMPUTACIÓN E INFORMÁTICA
2053,335015, ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES
2054,811055, GUÍA OFICIAL DE TURISMO 
2055,311035, RELACIONES PÚBLICAS
2056,215015,ARCHIVOS
2057,611025, ADMINISTRACIÓN RURAL
2058,525105, TÉCNICAS DE INGENIERÍA ELECTRÓNICA
2059,524045, TÉCNICAS DE INGENIERÍA ELÉCTRICA
2060,526225, TÉCNICA EN INGENIERÍA MECÁNICA DE MANTENIMIENTO
2061,526235, TÉCNICA EN INGENIERÍA MECÁNICA DE PRODUCCIÓN
2062,441095, COMPUTACIÓN E INFORMÁTICA
2063,331095, ADMINISTRACIÓN DE EMPRESAS
